title,genres,director,cast,keywords,description,movieId,release_year
Tales of Symphony,Fantasy,David Yates,"Ian McKellen, Elijah Wood, Johnny Depp","prophecy, wizards, alternate realm, dragons","In this mysterious tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",386,2003
The Haunting Heist II,Action,Christopher Nolan,"Keanu Reeves, Chris Hemsworth, Scarlett Johansson","fight, heist, superhero, rescue","In this haunting tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",387,2012
The Empire Syndicate II,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this gripping tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",388,2000
Beyond the Dreamer,Sci-Fi,Ridley Scott,"Sigourney Weaver, Mark Hamill, Ryan Gosling","future, simulation, artificial intelligence, dystopia","In this breathtaking tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",389,2022
Love in Dreamer,Romance|Horror,Rob Reiner,"Leonardo DiCaprio, Julia Roberts, Hugh Grant","secret crush, forbidden love, destiny, star-crossed lovers","In this gripping tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",390,1982
Chasing Empire II,Comedy,Edgar Wright,"Ryan Reynolds, Steve Carell, Ben Stiller","high school, buddy road trip, parody, coming of age","In this futuristic tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",391,1987
Chronicles of Wilderness,Adventure,George Lucas,"Ian McKellen, Emma Watson, Orlando Bloom","treasure hunt, wilderness, ancient, island","In this mysterious tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",392,1996
Whispers of the Dimension,Thriller,David Fincher,"Jodie Foster, Edward Norton, Leonardo DiCaprio","serial killer, kidnapping, psychological, hostage","In this haunting tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",393,1995
The Deep Sea Escape II,Action|Sci-Fi|Adventure,James Cameron,"Hugh Jackman, Tom Cruise, Leonardo DiCaprio","explosion, superhero, rescue, martial arts","In this mysterious tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",394,2003
Beyond the Galaxies,Sci-Fi|Romance|Comedy,Ridley Scott,"Matt Damon, Ryan Gosling, Sigourney Weaver","dystopia, cyborg, future, artificial intelligence","In this dangerous tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",395,2024
Secrets of the Love,Mystery|Romance|Horror,Denis Villeneuve,"Robert Downey Jr., Jake Gyllenhaal, Hugh Jackman","disappearance, murder mystery, puzzle, secret identity","In this spectacular tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",396,1993
The Revenge Heist,Action|Adventure|Horror,James Cameron,"Leonardo DiCaprio, Robert Downey Jr., Chris Hemsworth","revenge, heist, fight, car chase","In this haunting tale, a main protagonist confronts a forbidden romance that threatens to change everything they know.",397,2005
Chasing Galaxies,Comedy,Adam McKay,"Ben Stiller, Steve Carell, Will Ferrell","satire, slapstick, buddy road trip, coming of age","In this haunting tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",398,1977
Beyond the Haunting II,Sci-Fi,Denis Villeneuve,"Sandra Bullock, Sigourney Weaver, Keanu Reeves","cyborg, future, time travel, simulation","In this mysterious tale, a main protagonist battles a hidden empire that threatens to change everything they know.",399,2010
Pharaoh Night,Horror|Comedy|Mystery,James Wan,"Patrick Wilson, Ethan Hawke, Lupita Nyong'o","haunted house, curse, possession, survival horror","In this unforgettable tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",400,2023
Hearts in Artifact II,Romance|Drama|Adventure,Marc Webb,"Julia Roberts, Ryan Gosling, Kate Winslet","star-crossed lovers, second chance, relationship, love story","In this haunting tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",401,2021
The Wilderness Syndicate,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this breathtaking tale, a main protagonist investigates a secret agent that threatens to change everything they know.",402,1998
How to Paris,Comedy|Fantasy|Sci-Fi,Todd Phillips,"Jim Carrey, Will Ferrell, Ryan Reynolds","coming of age, high school, parody, buddy road trip","In this haunting tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",403,2024
Return of the Dreamer II,Fantasy|Adventure,Peter Jackson,"Emma Watson, Ian McKellen, Elijah Wood","mythology, prophecy, wizards, dark lord","In this gripping tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",404,1996
The Last Love II,Adventure|Mystery|Fantasy,Ridley Scott,"Emma Watson, Elijah Wood, Sam Neill","journey, survival, quest, wilderness","In this unforgettable tale, a main protagonist travels to a secret agent that threatens to change everything they know.",405,1999
Beyond the Deep Sea,Sci-Fi,James Cameron,"Matthew McConaughey, Carrie Fisher, Matt Damon","cyborg, time travel, dystopia, space travel","In this unforgettable tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",406,2005
AI Night II,Horror|Sci-Fi|Action,James Wan,"Florence Pugh, Jamie Lee Curtis, Toni Collette","haunted house, ghost, survival horror, curse","In this futuristic tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",407,1981
Chasing Revenge,Comedy|Sci-Fi|Horror,Edgar Wright,"Will Ferrell, Ben Stiller, Seth Rogen","high school, satire, parody, misunderstanding","In this gripping tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",408,2007
Chronicles of Cyborg,Adventure|Sci-Fi|Action,Peter Jackson,"Daniel Radcliffe, Orlando Bloom, Tom Hanks","exploration, quest, survival, treasure hunt","In this mysterious tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",409,2010
Curse of the Deep Sea,Horror|Comedy|Romance,Jordan Peele,"Vera Farmiga, Lupita Nyong'o, Jamie Lee Curtis","haunted house, survival horror, ghost, possession","In this breathtaking tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know.",410,1985
Beyond the Artifact II,Sci-Fi|Fantasy|Horror,Ridley Scott,"Matt Damon, Carrie Fisher, Matthew McConaughey","dystopia, alien, time travel, space travel","In this mysterious tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",411,1982
Diary of a Symphony,Drama,Martin Scorsese,"Matthew McConaughey, Meryl Streep, Joaquin Phoenix","friendship, family struggle, ambition, mental illness","In this mysterious tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",412,2004
Hearts in High School II,Romance|Adventure,James Cameron,"Ryan Gosling, Hugh Grant, Rachel McAdams","secret crush, love story, destiny, star-crossed lovers","In this gripping tale, a main protagonist travels to a digital virtual world that threatens to change everything they know.",413,2004
Diary of a AI,Drama,Martin Scorsese,"Al Pacino, Kate Winslet, Meryl Streep","family struggle, ambition, historical events, friendship","In this mysterious tale, a main protagonist travels to a secret agent that threatens to change everything they know.",414,1985
The Wilderness Syndicate II,Crime|Drama|Comedy,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this spectacular tale, a main protagonist investigates a secret agent that threatens to change everything they know.",415,1989
How to Time II,Comedy|Action|Drama,Todd Phillips,"Paul Rudd, Emma Stone, Jonah Hill","satire, high school, misunderstanding, parody","In this unforgettable tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",416,1995
How to Dreamer,Comedy,Edgar Wright,"Paul Rudd, Will Ferrell, Ben Stiller","satire, parody, buddy road trip, high school","In this breathtaking tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",417,2011
Whispers of the Symphony II,Thriller,Denis Villeneuve,"Morgan Freeman, Christian Bale, Brad Pitt","conspiracy, serial killer, kidnapping, ticking clock","In this mysterious tale, a main protagonist uncovers their deepest fears that threatens to change everything they know.",418,1990
Beyond the Haunting II,Sci-Fi|Drama,Ridley Scott,"Matt Damon, Sandra Bullock, Keanu Reeves","alien, space travel, simulation, cyborg","In this spectacular tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",419,1983
Hearts in Wilderness II,Romance,James Cameron,"Kate Winslet, Ryan Gosling, Julie Delpy","second chance, love story, destiny, relationship","In this mysterious tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know.",420,2018
Whispers of the Haunting,Thriller,Christopher Nolan,"Brad Pitt, Christian Bale, Ben Affleck","hostage, kidnapping, psychological, corruption","In this gripping tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",421,1982
Revenge Night,Horror,Ari Aster,"Patrick Wilson, Jamie Lee Curtis, Ethan Hawke","ghost, zombie, survival horror, possession","In this futuristic tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",422,2008
Curse of the Destiny,Horror|Fantasy,Jordan Peele,"Lupita Nyong'o, Patrick Wilson, Vera Farmiga","monster, survival horror, haunted house, possession","In this mysterious tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",423,1984
Curse of the Algorithm II,Horror|Comedy|Fantasy,Jordan Peele,"Toni Collette, Lupita Nyong'o, Vera Farmiga","curse, possession, ghost, survival horror","In this unforgettable tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",424,1975
The Time Project,Sci-Fi|Adventure,Lana Wachowski,"Sigourney Weaver, Ryan Gosling, Zoe Saldana","dystopia, space travel, cyborg, alien","In this haunting tale, a main protagonist travels to a secret agent that threatens to change everything they know.",425,1989
The Haunting Syndicate II,Crime,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this haunting tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",426,2011
