title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
How to Revenge II,Comedy Mystery,Judd Apatow,"Paul Rudd, Seth Rogen, Jonah Hill","satire, high school, buddy road trip, parody","In this mysterious tale, a main protagonist investigates a secret agent that threatens to change everything they know.",245,2005,juddapatow,paulrudd sethrogen jonahhill,satire highschool buddyroadtrip parody,comedy mystery,"comedy mystery juddapatow paulrudd sethrogen jonahhill satire highschool buddyroadtrip parody in this mysterious tale, a main protagonist investigates a secret agent that threatens to change everything they know."
How to Pharaoh II,Comedy,Judd Apatow,"Jonah Hill, Emma Stone, Jim Carrey","slapstick, coming of age, satire, buddy road trip","In this unforgettable tale, a main protagonist travels to a deadly conspiracy that threatens to change everything they know.",246,1994,juddapatow,jonahhill emmastone jimcarrey,slapstick comingofage satire buddyroadtrip,comedy,"comedy juddapatow jonahhill emmastone jimcarrey slapstick comingofage satire buddyroadtrip in this unforgettable tale, a main protagonist travels to a deadly conspiracy that threatens to change everything they know."
How to Deep Sea,Comedy Thriller,Edgar Wright,"Seth Rogen, Paul Rudd, Jim Carrey","coming of age, high school, slapstick, misunderstanding","In this unforgettable tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",247,2010,edgarwright,sethrogen paulrudd jimcarrey,comingofage highschool slapstick misunderstanding,comedy thriller,"comedy thriller edgarwright sethrogen paulrudd jimcarrey comingofage highschool slapstick misunderstanding in this unforgettable tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know."
Beyond the Destiny II,Sci-Fi Romance,Lana Wachowski,"Matt Damon, Zoe Saldana, Sigourney Weaver","space travel, alien, future, cyborg","In this gripping tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",248,2010,lanawachowski,mattdamon zoesaldana sigourneyweaver,spacetravel alien future cyborg,sci-fi romance,"sci-fi romance lanawachowski mattdamon zoesaldana sigourneyweaver spacetravel alien future cyborg in this gripping tale, a main protagonist battles a forbidden romance that threatens to change everything they know."
The Haunting Syndicate,Crime Fantasy,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this futuristic tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",249,2015,independentdirector,actoralpha actorbeta,movie story,crime fantasy,"crime fantasy independentdirector actoralpha actorbeta movie story in this futuristic tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know."
Chasing Algorithm,Comedy,Todd Phillips,"Seth Rogen, Ryan Reynolds, Steve Carell","satire, slapstick, buddy road trip, misunderstanding","In this breathtaking tale, a main protagonist navigates a secret agent that threatens to change everything they know.",250,2017,toddphillips,sethrogen ryanreynolds stevecarell,satire slapstick buddyroadtrip misunderstanding,comedy,"comedy toddphillips sethrogen ryanreynolds stevecarell satire slapstick buddyroadtrip misunderstanding in this breathtaking tale, a main protagonist navigates a secret agent that threatens to change everything they know."
The Love Project II,Sci-Fi Action Drama,Lana Wachowski,"Matthew McConaughey, Mark Hamill, Zoe Saldana","simulation, time travel, future, alien","In this spectacular tale, a main protagonist battles a secret agent that threatens to change everything they know.",251,1977,lanawachowski,matthewmcconaughey markhamill zoesaldana,simulation timetravel future alien,sci-fi action drama,"sci-fi action drama lanawachowski matthewmcconaughey markhamill zoesaldana simulation timetravel future alien in this spectacular tale, a main protagonist battles a secret agent that threatens to change everything they know."
Curse of the Algorithm II,Horror,Jordan Peele,"Florence Pugh, Vera Farmiga, Ethan Hawke","curse, survival horror, monster, possession","In this futuristic tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",252,1985,jordanpeele,florencepugh verafarmiga ethanhawke,curse survivalhorror monster possession,horror,"horror jordanpeele florencepugh verafarmiga ethanhawke curse survivalhorror monster possession in this futuristic tale, a main protagonist confronts a digital virtual world that threatens to change everything they know."
Shadow of the Wilderness,Thriller Drama,Denis Villeneuve,"Leonardo DiCaprio, Christian Bale, Jodie Foster","ticking clock, conspiracy, hostage, corruption","In this dangerous tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",253,1987,denisvilleneuve,leonardodicaprio christianbale jodiefoster,tickingclock conspiracy hostage corruption,thriller drama,"thriller drama denisvilleneuve leonardodicaprio christianbale jodiefoster tickingclock conspiracy hostage corruption in this dangerous tale, a main protagonist travels to their deepest fears that threatens to change everything they know."
Hearts in Cyborg II,Romance Mystery Horror,Marc Webb,"Ethan Hawke, Leonardo DiCaprio, Hugh Grant","relationship, forbidden love, love story, star-crossed lovers","In this futuristic tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",254,1992,marcwebb,ethanhawke leonardodicaprio hughgrant,relationship forbiddenlove lovestory star-crossedlovers,romance mystery horror,"romance mystery horror marcwebb ethanhawke leonardodicaprio hughgrant relationship forbiddenlove lovestory star-crossedlovers in this futuristic tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Curse of the Dimension,Horror Fantasy Action,John Carpenter,"Ethan Hawke, Lupita Nyong'o, Jamie Lee Curtis","survival horror, monster, possession, curse","In this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",255,2019,johncarpenter,ethanhawke lupitanyong'o jamieleecurtis,survivalhorror monster possession curse,horror fantasy action,"horror fantasy action johncarpenter ethanhawke lupitanyong'o jamieleecurtis survivalhorror monster possession curse in this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know."
The Last Empire II,Adventure Horror Comedy,Peter Jackson,"Elijah Wood, Emma Watson, Ian McKellen","journey, ancient, island, treasure hunt","In this spectacular tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",256,1978,peterjackson,elijahwood emmawatson ianmckellen,journey ancient island treasurehunt,adventure horror comedy,"adventure horror comedy peterjackson elijahwood emmawatson ianmckellen journey ancient island treasurehunt in this spectacular tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know."
Secrets of the Dimension,Mystery Romance,Denis Villeneuve,"Robert Downey Jr., Hugh Jackman, Jake Gyllenhaal","twist ending, detective, secret identity, puzzle","In this unforgettable tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",257,2006,denisvilleneuve,robertdowneyjr. hughjackman jakegyllenhaal,twistending detective secretidentity puzzle,mystery romance,"mystery romance denisvilleneuve robertdowneyjr. hughjackman jakegyllenhaal twistending detective secretidentity puzzle in this unforgettable tale, a main protagonist escapes from a secret agent that threatens to change everything they know."
Hearts in Revenge II,Romance Adventure Drama,James Cameron,"Julia Roberts, Julie Delpy, Kate Winslet","star-crossed lovers, relationship, forbidden love, second chance","In this dangerous tale, a main protagonist navigates a hidden empire that threatens to change everything they know.",258,2005,jamescameron,juliaroberts juliedelpy katewinslet,star-crossedlovers relationship forbiddenlove secondchance,romance adventure drama,"romance adventure drama jamescameron juliaroberts juliedelpy katewinslet star-crossedlovers relationship forbiddenlove secondchance in this dangerous tale, a main protagonist navigates a hidden empire that threatens to change everything they know."
Chasing Haunting,Comedy,Edgar Wright,"Seth Rogen, Ben Stiller, Steve Carell","slapstick, satire, high school, misunderstanding","In this breathtaking tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",259,2014,edgarwright,sethrogen benstiller stevecarell,slapstick satire highschool misunderstanding,comedy,"comedy edgarwright sethrogen benstiller stevecarell slapstick satire highschool misunderstanding in this breathtaking tale, a main protagonist uncovers a hidden empire that threatens to change everything they know."
Shadow of the Algorithm II,Thriller Sci-Fi Fantasy,Denis Villeneuve,"Leonardo DiCaprio, Christian Bale, Jodie Foster","serial killer, psychological, ticking clock, hostage","In this futuristic tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",260,2014,denisvilleneuve,leonardodicaprio christianbale jodiefoster,serialkiller psychological tickingclock hostage,thriller sci-fi fantasy,"thriller sci-fi fantasy denisvilleneuve leonardodicaprio christianbale jodiefoster serialkiller psychological tickingclock hostage in this futuristic tale, a main protagonist escapes from a secret agent that threatens to change everything they know."
